upd,loss,best,alpha_sum,prob_0,prob_1,prob_2,prob_3,alpha_0,alpha_1,alpha_2,alpha_3,pused_0,pused_1,pused_2,pused_3,ophist_0,ophist_1,ophist_2,ophist_3,opimp_0,opimp_1,opimp_2,opimp_3
67,0.07523927837610245,466875537.2445179,5.781512260437012,0.26250362396240234,0.225911945104599,0.2514253854751587,0.26015907526016235,1.5176678895950317,1.3061126470565796,1.4536188840866089,1.5041128396987915,0.14000000059604645,0.23100000619888306,0.13699999451637268,0.492000013589859,0.11999999731779099,0.20000000298023224,0.2199999988079071,0.46000000834465027,0.16699999570846558,0.10000000149011612,0.18199999630451202,0.17399999499320984
68,0.07209610939025879,466875537.2445179,5.747899055480957,0.2628495395183563,0.22462286055088043,0.25282034277915955,0.2597072422504425,1.510832667350769,1.291109561920166,1.453185796737671,1.492771029472351,0.1340000033378601,0.10499999672174454,0.5339999794960022,0.22699999809265137,0.10000000149011612,0.1599999964237213,0.4399999976158142,0.30000001192092896,0.0,0.0,0.22699999809265137,0.0
69,0.07542627304792404,466875537.2445179,5.714285373687744,0.26254773139953613,0.22601939737796783,0.2510892152786255,0.2603437006473541,1.5002726316452026,1.2915393114089966,1.4347954988479614,1.4876781702041626,0.1889999955892563,0.25,0.1340000033378601,0.4269999861717224,0.18000000715255737,0.25999999046325684,0.05999999865889549,0.5,0.11100000143051147,0.07699999958276749,0.3330000042915344,0.03999999910593033
70,0.06815242022275925,466875537.2445179,5.680671691894531,0.2626805305480957,0.22531330585479736,0.25275444984436035,0.25925177335739136,1.4922019243240356,1.2799309492111206,1.4358149766921997,1.472724199295044,0.16599999368190765,0.25699999928474426,0.07500000298023224,0.5019999742507935,0.18000000715255737,0.3400000035762787,0.0,0.47999998927116394,0.11100000143051147,0.05900000035762787,0.0,0.2919999957084656
71,0.06357275694608688,466875537.2445179,5.647058486938477,0.2628719210624695,0.22399459779262543,0.2537509799003601,0.25938254594802856,1.4844530820846558,1.2649105787277222,1.4329465627670288,1.4647483825683594,0.31700000166893005,0.22499999403953552,0.34599998593330383,0.1120000034570694,0.2800000011920929,0.2199999988079071,0.4000000059604645,0.10000000149011612,0.14300000667572021,0.0,0.25,0.0
72,0.06886161863803864,444368309.8862979,5.613445281982422,0.2638636827468872,0.22362861037254333,0.2515973448753357,0.26091039180755615,1.4811843633651733,1.2553269863128662,1.4123278856277466,1.4646061658859253,0.7360000014305115,0.13300000131130219,0.04800000041723251,0.08299999684095383,0.8399999737739563,0.14000000059604645,0.019999999552965164,0.0,0.23800000548362732,0.28600001335144043,0.0,0.0
73,0.06905421614646912,444368309.8862979,5.579832553863525,0.2622987627983093,0.22507517039775848,0.25325512886047363,0.259370893239975,1.46358323097229,1.2558817863464355,1.413121223449707,1.4472460746765137,0.1860000044107437,0.2150000035762787,0.2619999945163727,0.3370000123977661,0.11999999731779099,0.2199999988079071,0.30000001192092896,0.36000001430511475,0.0,0.18199999630451202,0.06700000166893005,0.22200000286102295
74,0.06585527211427689,444368309.8862979,5.546218395233154,0.262204110622406,0.22588776051998138,0.2522987425327301,0.2596094012260437,1.4542412757873535,1.2528228759765625,1.399303913116455,1.4398504495620728,0.1289999932050705,0.03400000184774399,0.5720000267028809,0.26499998569488525,0.11999999731779099,0.05999999865889549,0.5799999833106995,0.23999999463558197,0.0,0.0,0.3100000023841858,0.16699999570846558
75,0.0712638720870018,444368309.8862979,5.512604713439941,0.2662293612957001,0.222024068236351,0.2520170509815216,0.2597295641899109,1.467617154121399,1.2239309549331665,1.389270305633545,1.4317864179611206,0.13300000131130219,0.29899999499320984,0.1940000057220459,0.37299999594688416,0.20000000298023224,0.2199999988079071,0.14000000059604645,0.4399999976158142,0.10000000149011612,0.09099999815225601,0.0,0.22699999809265137
76,0.06664232164621353,444368309.8862979,5.478991985321045,0.2622215151786804,0.22560656070709229,0.252941370010376,0.25923049449920654,1.4367096424102783,1.2360965013504028,1.3858636617660522,1.4203218221664429,0.7509999871253967,0.03700000047683716,0.03099999949336052,0.18199999630451202,0.7799999713897705,0.019999999552965164,0.019999999552965164,0.18000000715255737,0.10300000011920929,0.0,0.0,0.11100000143051147
77,0.07112285494804382,444368309.8862979,5.44537878036499,0.26267746090888977,0.22480714321136475,0.2534099221229553,0.2591054141521454,1.4303781986236572,1.224160075187683,1.379913091659546,1.410927176475525,0.6650000214576721,0.032999999821186066,0.25600001215934753,0.04699999839067459,0.7799999713897705,0.0,0.20000000298023224,0.019999999552965164,0.23100000619888306,0.0,0.0,0.0
78,0.08295973390340805,444368309.8862979,5.411764144897461,0.2634403109550476,0.2251904159784317,0.251790314912796,0.25957897305488586,1.4256768226623535,1.2186774015426636,1.362629771232605,1.4047801494598389,0.2800000011920929,0.28600001335144043,0.20399999618530273,0.2290000021457672,0.1599999964237213,0.2199999988079071,0.23999999463558197,0.3799999952316284,0.0,0.18199999630451202,0.25,0.210999995470047
79,0.06880925595760345,444368309.8862979,5.378150939941406,0.2620590925216675,0.22595515847206116,0.25297239422798157,0.25901341438293457,1.4093934297561646,1.2152209281921387,1.3605237007141113,1.3930132389068604,0.15399999916553497,0.023000000044703484,0.46700000762939453,0.35600000619888306,0.18000000715255737,0.019999999552965164,0.41999998688697815,0.3799999952316284,0.11100000143051147,0.0,0.28600001335144043,0.210999995470047
80,0.07046490162611008,444368309.8862979,5.34453821182251,0.2622081935405731,0.22630751132965088,0.25161507725715637,0.25986918807029724,1.4013817310333252,1.2095091342926025,1.34476637840271,1.3888808488845825,0.3930000066757202,0.07900000363588333,0.16300000250339508,0.36399999260902405,0.4399999976158142,0.11999999731779099,0.1599999964237213,0.2800000011920929,0.18199999630451202,0.3330000042915344,0.25,0.14300000667572021
